Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"La India Ranch, Brooks County, Texas, USA","Operation Identificatio, U. of Texas",Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,4,0,4,0,0,0,0,Violence,Western Mediterranean,Morocco/Spain border near Melilla,L'Espresso ,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Southern Asia,South-eastern Asia,Indonesia,9,26,35,62,1,8,1,Drowning,,Coast of Malaysia - Strait of Malacca,The World Post (Huffington and BIG) ,South-eastern Asia
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,June,Eastern Africa,Mediterranean,Eritrea,0,240,240,0,0,0,0,Drowning,Central Mediterranean,"TBC - boat went missing, not recovered",IOM Rome Office - Flavio Di Giacomo ,Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Split Incident,2014,June,Western Asia,Mediterranean,"Morocco,Syrian Arab Republic,Unknown",2,4,6,0,0,4,0,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,Yahoo! News ,Uncategorized
Incident,2014,June,Unknown,Mediterranean,"Cameroon,Somalia,Syrian Arab Republic",45,0,45,566,0,45,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Pozzallo,Oman Daily Observer ,Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,0,75,75,27,0,0,0,Drowning,Central Mediterranean,"Recued off Sicily; taken to Catania, Sicily",Yahoo! News ,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Unknown,Mediterranean,,13,0,13,0,0,0,0,Mixed or unknown,Central Mediterranean,Boat drifting in Libyan waters,IANS,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Split Incident,2014,July,Western Asia,Mediterranean,"Eritrea,Syrian Arab Republic,Unknown",12,188,200,0,1,0,2,Drowning,Central Mediterranean,Off the coast of Tripoli (capsized boat),Reuters ,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Coatzacoalcos, Veracruz, Mexico",Noticias de Mexico,Central America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Central America,North America,El Salvador,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Barrosa Pasture, King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,4,21,25,13,1,2,1,Drowning,Eastern Mediterranean,Aegean Sea,Greek Reporter ,Uncategorized
Incident,2014,July,Central America,North America,El Salvador,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Singer Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,12,0,12,0,0,0,0,Drowning,Central Mediterranean,"Bodies found on coast near Tripoli, Libya",IANS,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Central America,North America,Guatemala,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Cage Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",Northern America
Incident,2014,July,Unknown,Mediterranean,Unknown,1,109,110,12,1,0,0,Drowning,Central Mediterranean,40 miles off the coast of Libya,UNHCR,Uncategorized
Incident,2014,July,Southern Asia,South-eastern Asia,Indonesia,2,18,20,60,0,0,0,Drowning,,Off the southwest coast of Malaysia,BBC ,South-eastern Asia
Incident,2014,July,Unknown,Mediterranean,Unknown,3,0,3,90,0,0,0,Drowning,Central Mediterranean,"Just off the coast of Garabulli, Libya",Al-Arab Online ,Uncategorized
Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,0,41,41,61,0,0,0,Drowning,Central Mediterranean,"30 miles off the coast of Tripoli, Libya",The Daily Star,Uncategorized
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Central America,North America,Guatemala,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Cage Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas",Northern America
Incident,2014,July,Mixed,Mediterranean,"Egypt,Syrian Arab Republic",2,53,55,1,0,0,0,Drowning,Central Mediterranean,"off the coast of Kafr el-Sheikh governorate, Egypt",Zee News ,Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,3,0,3,104,0,0,0,Drowning,Central Mediterranean,"Off the Libyan coast, northeast of Tripoli",World Bulletin ,Uncategorized
Split Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,29,151,180,569,0,0,1,"Drowning,Mixed or unknown",Central Mediterranean,Between Libya and Malta,"IOM Libya, Voice of America",Uncategorized
Incident,2014,July,Unknown,Mediterranean,Unknown,5,14,19,61,0,0,0,Drowning,Central Mediterranean,South of Sicily,Malta Today ,Uncategorized
Incident,2014,July,Eastern Africa,Europe,Eritrea,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Abandoned airfield outside Downham Market, England, UK",The independent,Northern Europe
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Sub-Saharan Africa (P),Mediterranean,Unknown,20,108,128,22,0,0,0,Drowning,Central Mediterranean,"60 miles off the coast of Al Khums, Libya",ANSAMed,Uncategorized
Incident,2014,July,Central America,North America,Mexico,1,0,1,0,0,1,1,Accidental death,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,July,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location, Libya",MHub,Northern Africa
Incident,2014,July,Western / Southern Asia (P),Southern Asia,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Mountains, Iran",MHub,Southern Asia
Incident,2014,August,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Acatlan de Perez Figueroa, Oaxaca, Mexico",Imagen del Golfo,Central America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Western Asia,Mediterranean,Syrian Arab Republic,2,170,172,200,1,0,1,Drowning,Central Mediterranean,50 miles off Libyan coast,IOM Rome Office ,Uncategorized
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Southern Asia,Europe,Afghanistan,1,0,1,34,0,1,0,Violence,English Channel to the UK,"Dead body found shipping container in Tilbury docks, Essex, UK",News Letter  - The Pride of Northern Ireland,Northern Europe
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2014,August,Sub-Saharan Africa (P),Mediterranean,Unknown,170,81,251,19,0,0,1,Drowning,Central Mediterranean,"Off shores of al-Qarbouli, 50km east of Tripoli","Aljazeera, Telegraph, IOM, UNHCR",Uncategorized
Incident,2014,August,Unknown,Mediterranean,"Côte d'Ivoire,Eritrea,Guinea,Libya,Mali,Palestinian Territories,Somalia,Sudan,Syrian Arab Republic",18,8,26,73,0,26,0,Drowning,Central Mediterranean,Central Med off the coast of Italy,IOM Rome and Yahoo! News ,Uncategorized
Incident,2014,August,Caribbean,Caribbean,Cuba,4,5,9,0,0,4,0,Drowning,Caribbean to US,"20 miles east of Hollywood Beach, Florida",Washington Times,Caribbean
